date,grid_id,crash_count,x_coord,y_coord,temperature,rainfall,snow,ice,day_of_year,day_of_week,month,is_weekend
2022-01-01,0,3,0,0,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,1,1,1,0,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,2,0,2,0,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,3,0,0,1,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,4,0,1,1,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,5,4,2,1,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,6,2,0,2,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,7,0,1,2,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-01,8,1,2,2,6.7116590439771295,0.6478230625688891,0.0,0,1,5,1,1
2022-01-02,0,5,0,0,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,1,3,1,0,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,2,0,2,0,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,3,1,0,1,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,4,1,1,1,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,5,1,2,1,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,6,2,0,2,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,7,0,1,2,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-02,8,2,2,2,4.844202544762242,0.0,0.0,0,2,6,1,1
2022-01-03,0,2,0,0,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,1,2,1,0,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,2,0,2,0,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,3,3,0,1,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,4,0,1,1,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,5,0,2,1,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,6,2,0,2,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,7,2,1,2,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-03,8,2,2,2,7.242426395787006,0.0,0.0,0,3,0,1,0
2022-01-04,0,6,0,0,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,1,3,1,0,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,2,2,2,0,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,3,4,0,1,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,4,3,1,1,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,5,1,2,1,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,6,5,0,2,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,7,2,1,2,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-04,8,2,2,2,9.911690192675527,4.970918383617235,0.0,0,4,1,1,0
2022-01-05,0,7,0,0,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,1,3,1,0,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,2,2,2,0,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,3,8,0,1,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,4,8,1,1,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,5,2,2,1,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,6,1,0,2,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,7,7,1,2,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-05,8,0,2,2,4.686242037106984,9.512468368279833,0.0,0,5,2,1,0
2022-01-06,0,12,0,0,4.735240863233402,9.254890151897406,0.0,0,6,3,1,0
2022-01-06,1,8,1,0,4.735240863233402,9.254890151897406,0.0,0,6,3,1,0
2022-01-06,2,1,2,0,4.735240863233402,9.254890151897406,0.0,0,6,3,1,0
2022-01-06,3,6,0,1,4.735240863233402,9.254890151897406,0.0,0,6,3,1,0
